"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","Class"
30,"blue-collar","married","basic.9y","no","yes","no","cellular","may","fri",487,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no"
39,"services","single","high.school","no","no","no","telephone","may","fri",346,4,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
25,"services","married","high.school","no","yes","no","telephone","jun","wed",227,1,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,"no"
38,"services","married","basic.9y","no","unknown","unknown","telephone","jun","fri",17,3,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
32,"admin.","single","university.degree","no","yes","no","cellular","sep","mon",290,4,999,0,"nonexistent",-1.1,94.199,-37.5,0.879,4963.6,"no"
25,"services","single","basic.6y","unknown","yes","no","cellular","jul","thu",301,1,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"no"
36,"self-employed","single","basic.4y","no","no","no","cellular","jul","thu",148,1,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no"
47,"blue-collar","married","basic.4y","no","yes","no","telephone","jun","thu",211,2,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,"no"
27,"services","single","university.degree","no","no","no","cellular","jul","wed",698,2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
46,"admin.","divorced","university.degree","no","yes","no","telephone","jul","mon",59,4,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
50,"blue-collar","married","basic.4y","no","no","yes","cellular","jul","tue",849,1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"yes"
39,"technician","divorced","high.school","no","no","no","cellular","mar","mon",222,1,12,2,"success",-1.8,93.369,-34.8,0.639,5008.7,"yes"
29,"technician","single","university.degree","no","yes","yes","cellular","aug","wed",626,3,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,"no"
40,"management","married","high.school","no","no","yes","cellular","aug","wed",119,1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
44,"technician","married","professional.course","unknown","yes","no","telephone","may","fri",388,7,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
38,"technician","married","professional.course","no","yes","no","cellular","aug","mon",479,1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"yes"
28,"blue-collar","married","basic.6y","unknown","no","no","cellular","may","mon",68,2,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,"no"
33,"services","married","high.school","unknown","yes","no","telephone","jun","mon",393,3,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"no"
51,"technician","single","university.degree","no","no","no","cellular","jun","fri",151,2,999,0,"nonexistent",-2.9,92.963,-40.8,1.268,5076.2,"no"
