id_1,id_2,cmp_f0me_c1,cmp_f0me_c2,cmp_l0me_c1,cmp_l0me_c2,cmp_sex,cmp_bd,cmp_bm,cmp_by,cmp_plz,Class
26251,40278,1,0,1,0,1,1,1,1,1,TRUE
17156,49320,1,0,1,0,1,1,1,1,1,TRUE
28894,34446,1,0,1,0,1,1,1,1,1,TRUE
95236,95834,1,0,1,0,1,1,1,1,1,TRUE
21318,26546,1,0,1,0,1,1,1,1,1,TRUE
45769,86663,1,0,1,0,1,1,1,1,1,TRUE
28747,39801,1,0,1,0,1,1,1,1,1,TRUE
35881,37676,1,1,1,0,1,1,1,1,1,TRUE
52200,52201,1,0,1,0,1,1,1,1,1,TRUE
19933,52168,1,0,1,0,1,1,1,1,1,TRUE
66953,69501,1,0,1,0,1,1,1,1,1,TRUE
98141,98161,1,0,1,0,1,1,1,1,1,TRUE
50303,55625,1,0,1,0,1,1,1,1,1,TRUE
17308,20123,1,0,1,0,1,1,1,1,1,TRUE
20281,44783,1,0,1,0,1,1,1,1,1,TRUE
26207,37538,1,0,1,0,1,1,1,1,1,TRUE
26811,38178,1,0,1,0,1,1,1,1,1,TRUE
3258,8515,1,0,1,0,1,1,1,1,1,TRUE
24144,26510,1,0,1,0,1,1,1,1,1,TRUE
30742,49257,1,0,1,0,1,1,1,1,1,TRUE
24821,28693,1,0,0.857142857,0,1,1,1,1,1,TRUE
63580,84931,1,0,1,0,1,1,1,1,1,TRUE
43952,47454,1,0,1,0,1,1,1,1,1,TRUE
34103,74075,1,1,1,0,1,1,1,1,1,TRUE
18247,23524,1,0,1,0,1,1,1,1,1,TRUE
43963,84922,1,0,1,0,1,1,1,1,1,TRUE
46361,96833,1,0,1,0,1,1,1,1,1,TRUE
31382,35510,1,0,1,0,1,1,1,1,1,TRUE
28219,59855,1,0,1,0,1,1,1,1,1,TRUE
23560,36363,1,0,1,0,1,1,1,1,1,TRUE
56891,56892,1,0,1,0,1,1,1,1,1,TRUE
69220,69221,1,0,1,0,1,1,1,1,1,TRUE
59380,85598,1,1,1,0,1,1,1,1,0,TRUE
73108,79641,1,0,1,0,1,1,1,1,1,TRUE
19379,28366,1,0,1,0,1,1,1,1,1,TRUE
27508,27509,1,0,1,0,1,1,1,1,1,TRUE
13189,13190,1,0,1,0,1,1,1,1,1,TRUE
35996,80441,1,0,1,0,1,1,1,1,1,TRUE
52391,53053,1,0,1,0,1,1,1,1,1,TRUE
16735,48511,1,0,1,0,1,1,1,1,1,TRUE
23592,40684,1,0,1,0,1,1,1,1,1,TRUE
51745,53413,1,0,1,0,1,1,1,1,1,TRUE
23505,25559,1,0,1,0,1,1,1,1,1,TRUE
39450,76039,1,0,1,0,1,1,1,1,1,TRUE
91382,94700,1,1,1,0,1,1,1,1,1,TRUE
28445,28446,1,0,1,0,1,1,1,1,1,TRUE
7967,70107,1,0,1,0,1,1,1,1,1,TRUE
56099,59581,1,0,1,0,1,1,1,1,0,TRUE
65981,69270,1,0,1,0,1,1,1,1,1,TRUE
18937,18938,1,0,1,0,1,1,1,1,1,TRUE
29502,34392,1,0,1,0,1,1,1,1,1,TRUE
37609,48712,1,0,1,0,1,1,1,1,1,TRUE
32449,43834,1,0,1,0,1,1,1,1,1,TRUE
37142,70319,1,0,1,0,1,1,1,1,1,TRUE
21152,37830,1,0,1,0,1,1,1,1,1,TRUE
17115,20093,1,0,1,0,1,1,1,1,1,TRUE
