"id_1","id_2","cmp_fname_c1","cmp_fname_c2","cmp_lname_c1","cmp_lname_c2","cmp_sex","cmp_bd","cmp_bm","cmp_by","cmp_plz","Class"
53659,60546,1,NA,1,NA,1,1,1,1,1,"TRUE"
94921,96590,1,NA,1,NA,1,1,1,1,1,"TRUE"
29753,32421,1,NA,1,NA,1,1,1,1,1,"TRUE"
28360,28361,1,NA,1,NA,1,1,1,1,1,"TRUE"
20971,25246,1,NA,1,NA,1,1,1,1,1,"TRUE"
65910,65913,1,NA,1,NA,1,1,1,1,1,"TRUE"
20556,47306,1,NA,1,NA,1,1,1,1,1,"TRUE"
20190,29548,1,NA,1,NA,1,1,1,1,1,"TRUE"
14083,80503,1,NA,0.2,NA,1,0,1,1,0,"FALSE"
59019,69698,0.125,NA,0.142857142857143,NA,1,1,1,1,0,"FALSE"
579,14066,0,NA,0.166666666666667,NA,1,1,1,1,0,"FALSE"
639,63609,1,NA,0.444444444444444,NA,1,1,0,0,0,"FALSE"
44884,75971,1,NA,0.125,NA,1,0,1,0,0,"FALSE"
61191,75193,0.375,NA,0.4,NA,1,0,0,0,0,"FALSE"
19245,48908,1,NA,0.142857142857143,NA,1,0,1,0,0,"FALSE"
34130,75381,1,NA,0.230769230769231,NA,1,0,1,0,0,"FALSE"
26411,35926,0.285714285714286,NA,0.2,NA,0,1,1,1,0,"FALSE"
29846,52113,1,NA,0.142857142857143,NA,1,0,1,0,0,"FALSE"
22848,65210,1,NA,0.272727272727273,NA,0,0,1,0,0,"FALSE"
50742,90083,1,NA,0,NA,1,1,0,0,0,"FALSE"
11669,61543,1,NA,0.25,NA,1,1,0,0,0,"FALSE"
23984,88933,1,NA,0,NA,1,0,1,0,0,"FALSE"
23012,98759,0.166666666666667,NA,0.5,NA,1,0,0,0,0,"FALSE"
66753,95966,1,NA,0.125,NA,1,0,0,1,0,"FALSE"
90836,95728,1,NA,0,NA,1,1,0,0,0,"FALSE"
55280,77807,1,NA,0.166666666666667,NA,1,0,1,0,0,"FALSE"
51313,52909,1,NA,0.125,NA,0,0,0,1,0,"FALSE"
36429,37864,1,NA,0,NA,1,0,1,0,0,"FALSE"
83226,93691,0.125,NA,0.5,NA,1,0,0,0,0,"FALSE"
27603,42884,0.125,NA,1,NA,1,0,0,0,0,"FALSE"
24123,39982,1,NA,0.333333333333333,NA,1,0,1,0,0,"FALSE"
50482,68831,1,NA,0.1,NA,1,0,1,0,0,"FALSE"
18639,66749,0.111111111111111,NA,0.8,NA,1,0,0,0,0,"FALSE"
67179,71847,1,NA,0.25,NA,1,1,0,0,0,"FALSE"
54996,58636,1,NA,0,NA,1,0,1,0,0,"FALSE"
12323,98511,1,NA,0,NA,1,1,0,0,0,"FALSE"
22957,69236,0.142857142857143,NA,0.833333333333333,NA,1,0,0,0,0,"FALSE"
7484,37216,0.125,NA,1,NA,1,0,0,0,0,"FALSE"
22898,82321,0.25,NA,0,NA,0,1,1,1,0,"FALSE"
26490,52564,0.166666666666667,NA,1,NA,1,0,0,0,0,"FALSE"
70348,95836,0.25,NA,0.8,NA,1,0,0,0,0,"FALSE"
41528,84896,0.142857142857143,NA,1,NA,1,0,0,0,0,"FALSE"
40513,87837,0.375,NA,0.166666666666667,NA,0,1,1,1,0,"FALSE"
42063,68031,1,NA,0,NA,1,0,1,0,0,"FALSE"
54247,95357,0.142857142857143,NA,1,NA,1,0,0,0,0,"FALSE"
41564,86955,1,NA,0,NA,1,0,1,0,0,"FALSE"
11220,48576,1,NA,0.222222222222222,NA,1,0,1,0,0,"FALSE"
26540,86014,1,NA,0,NA,1,0,0,1,0,"FALSE"
2463,64430,1,NA,0.444444444444444,NA,1,1,0,0,0,"FALSE"
8361,94495,0.142857142857143,NA,0.2,NA,1,0,0,0,0,"FALSE"
64451,85268,1,NA,0.333333333333333,NA,1,0,0,1,0,"FALSE"
2223,38234,0.166666666666667,NA,1,NA,1,0,0,0,0,"FALSE"
19984,52562,1,NA,0.125,NA,1,0,1,0,0,"FALSE"
36255,59379,1,NA,0.285714285714286,NA,0,1,0,0,0,"FALSE"
31796,36257,0.142857142857143,NA,0.428571428571429,NA,0,1,1,1,0,"FALSE"
34904,35205,0.125,NA,0.625,NA,1,0,0,0,0,"FALSE"
62408,68050,0.4,NA,0,NA,1,0,0,1,0,"FALSE"
34891,56280,1,NA,0,NA,1,0,1,0,0,"FALSE"
52653,75725,1,NA,0.1,NA,1,0,0,1,0,"FALSE"
80705,93402,0.125,NA,0.666666666666667,NA,1,0,0,0,0,"FALSE"
43425,65525,1,NA,0.166666666666667,NA,1,0,1,0,0,"FALSE"
10335,93197,1,NA,0.2,NA,1,0,1,0,0,"FALSE"
