"Make","Model","Year","Engine.Fuel.Type","Engine.HP","Engine.Cylinders","Transmission.Type","Driven_Wheels","Number.of.Doors","Market.Category","Vehicle.Size","Vehicle.Style","highway.MPG","city.mpg","Class","MSRP"
"BMW","1 Series",2013,"premium unleaded (required)",230,6,"MANUAL","rear wheel drive",2,"Luxury","Compact","Convertible",27,18,"1",37200
"BMW","1 Series",2013,"premium unleaded (required)",300,6,"MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","Coupe",28,20,"1",39600
"BMW","1 Series",2013,"premium unleaded (required)",230,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",28,19,"1",31500
"BMW","1 Series",2013,"premium unleaded (required)",300,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",28,19,"1",44400
"Audi","100",1993,"regular unleaded",172,6,"MANUAL","front wheel drive",4,"Luxury","Midsize","Sedan",24,17,"1",2000
"Audi","100",1993,"regular unleaded",172,6,"MANUAL","all wheel drive",4,"Luxury","Midsize","Sedan",21,16,"1",2000
"Audi","100",1994,"regular unleaded",172,6,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Wagon",21,16,"1",2000
"FIAT","124 Spider",2017,"premium unleaded (recommended)",160,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Convertible",35,26,"0",24995
"FIAT","124 Spider",2017,"premium unleaded (recommended)",160,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Convertible",35,26,"0",28195
"Mercedes-Benz","190-Class",1991,"regular unleaded",158,6,"MANUAL","rear wheel drive",4,"Luxury","Compact","Sedan",25,17,"0",2000
"BMW","2 Series",2017,"premium unleaded (recommended)",335,6,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Coupe",32,21,"1",44450
"BMW","2 Series",2017,"premium unleaded (recommended)",248,4,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",34,23,"1",38950
"Audi","200",1991,"regular unleaded",162,5,"AUTOMATIC","front wheel drive",4,"Luxury","Midsize","Sedan",20,16,"1",2000
"Chrysler","200",2015,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel,Performance","Midsize","Sedan",36,23,"0",26625
"Chrysler","200",2016,"flex-fuel (unleaded/E85)",295,6,"AUTOMATIC","all wheel drive",4,"Flex Fuel,Performance","Midsize","Sedan",29,18,"0",31785
"Chrysler","200",2016,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,"0",25690
"Chrysler","200",2017,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,"0",26685
"Chrysler","200",2017,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,"0",27795
"Nissan","240SX",1996,"regular unleaded",155,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",26,19,"1",3713
"Nissan","240SX",1996,"regular unleaded",155,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",26,19,"1",3520
"Nissan","240SX",1997,"regular unleaded",155,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",26,19,"1",3910
"Nissan","240SX",1997,"regular unleaded",155,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",26,19,"1",4182
"Nissan","240SX",1998,"regular unleaded",155,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",25,20,"1",4299
"Volvo","240",1991,"regular unleaded",114,4,"MANUAL","rear wheel drive",4,"Luxury","Midsize","Wagon",26,19,"0",2000
"Mazda","2",2013,"regular unleaded",100,4,"AUTOMATIC","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",34,28,"0",15560
"Mazda","2",2014,"regular unleaded",100,4,"AUTOMATIC","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",34,28,"0",17050
"BMW","3 Series Gran Turismo",2015,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",4,"Hatchback,Luxury","Midsize","4dr Hatchback",33,22,"1",41850
"BMW","3 Series Gran Turismo",2016,"premium unleaded (required)",300,6,"AUTOMATIC","all wheel drive",4,"Hatchback,Luxury,Performance","Midsize","4dr Hatchback",30,20,"1",49200
"BMW","3 Series",2015,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",33,22,"1",39500
"BMW","3 Series",2016,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",34,22,"1",40350
"BMW","3 Series",2016,"premium unleaded (required)",180,4,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",36,24,"1",33150
"BMW","3 Series",2017,"diesel",180,4,"AUTOMATIC","all wheel drive",4,"Diesel,Luxury","Midsize","Sedan",40,30,"1",42250
"BMW","3 Series",2017,"premium unleaded (recommended)",320,6,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",32,21,"1",47900
"Mercedes-Benz","300-Class",1992,"regular unleaded",177,6,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",19,15,"0",2207
"Mercedes-Benz","300-Class",1992,"regular unleaded",177,6,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",22,16,"0",2065
"Mercedes-Benz","300-Class",1992,"diesel",148,6,"AUTOMATIC","rear wheel drive",4,"Diesel,Luxury","Large","Sedan",22,18,"0",2547
"Mercedes-Benz","300-Class",1993,"regular unleaded",217,6,"AUTOMATIC","rear wheel drive",2,"Luxury","Midsize","Coupe",22,17,"0",2397
"Mercedes-Benz","300-Class",1993,"regular unleaded",177,6,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",19,15,"0",2433
"Mitsubishi","3000GT",1999,"regular unleaded",161,6,"MANUAL","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",22,17,"0",4090
"Chrysler","300",2015,"regular unleaded",300,6,"AUTOMATIC","all wheel drive",4,"N/A","Large","Sedan",27,18,"0",37570
"Chrysler","300",2016,"regular unleaded",292,6,"AUTOMATIC","all wheel drive",4,"N/A","Large","Sedan",27,18,"0",37755
"Chrysler","300",2016,"regular unleaded",292,6,"AUTOMATIC","all wheel drive",4,"N/A","Large","Sedan",27,18,"0",41055
"Chrysler","300",2016,"regular unleaded",292,6,"AUTOMATIC","rear wheel drive",4,"Performance","Large","Sedan",31,19,"0",42690
"Chrysler","300",2017,"regular unleaded",300,6,"AUTOMATIC","rear wheel drive",4,"Performance","Large","Sedan",30,19,"0",35675
"Chrysler","300M",2002,"premium unleaded (required)",250,6,"AUTOMATIC","front wheel drive",4,"Performance","Large","Sedan",24,16,"0",28540
"Chrysler","300M",2003,"premium unleaded (required)",255,6,"AUTOMATIC","front wheel drive",4,"Performance","Large","Sedan",25,16,"0",32315
"Chrysler","300M",2004,"regular unleaded",250,6,"AUTOMATIC","front wheel drive",4,"Performance","Large","Sedan",25,16,"0",29185
"Nissan","300ZX",1994,"regular unleaded",222,6,"MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",22,16,"1",2553
"Nissan","300ZX",1995,"regular unleaded",222,6,"MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",22,17,"1",2702
"Nissan","300ZX",1995,"regular unleaded",222,6,"MANUAL","rear wheel drive",2,"Performance","Compact","Convertible",22,17,"1",3101
"Nissan","300ZX",1996,"regular unleaded",222,6,"MANUAL","rear wheel drive",2,"Performance","Compact","Convertible",22,17,"1",3624
"Mazda","323",1992,"regular unleaded",82,4,"MANUAL","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",33,25,"0",2000
"Nissan","350Z",2007,"regular unleaded",306,6,"AUTOMATIC","rear wheel drive",2,"High-Performance","Compact","Convertible",23,17,"1",36550
"Nissan","350Z",2007,"regular unleaded",306,6,"AUTOMATIC","rear wheel drive",2,"High-Performance","Compact","Convertible",23,17,"1",41250
"Nissan","350Z",2007,"regular unleaded",306,6,"MANUAL","rear wheel drive",2,"High-Performance","Compact","Coupe",25,18,"1",32700
"Nissan","350Z",2007,"regular unleaded",306,6,"MANUAL","rear wheel drive",2,"High-Performance","Compact","Coupe",25,18,"1",29600
"Nissan","350Z",2008,"regular unleaded",306,6,"MANUAL","rear wheel drive",2,"Factory Tuner,High-Performance","Compact","Coupe",25,18,"1",38680
"Nissan","350Z",2008,"regular unleaded",306,6,"AUTOMATIC","rear wheel drive",2,"High-Performance","Compact","Coupe",24,17,"1",31210
"Ferrari","360",2002,"premium unleaded (required)",400,8,"AUTOMATED_MANUAL","rear wheel drive",2,"Exotic,High-Performance","Compact","Coupe",15,10,"1",150694
"Ferrari","360",2003,"premium unleaded (required)",400,8,"AUTOMATED_MANUAL","rear wheel drive",2,"Exotic,High-Performance","Compact","Coupe",15,10,"1",154090
"Ferrari","360",2003,"premium unleaded (required)",400,8,"AUTOMATED_MANUAL","rear wheel drive",2,"Exotic,High-Performance","Compact","Convertible",15,10,"1",176287
"Ferrari","360",2004,"premium unleaded (required)",400,8,"MANUAL","rear wheel drive",2,"Exotic,High-Performance","Compact","Coupe",15,10,"1",147332
"Ferrari","360",2004,"premium unleaded (required)",400,8,"MANUAL","rear wheel drive",2,"Exotic,High-Performance","Compact","Convertible",15,10,"1",169900
"Ferrari","360",2004,"premium unleaded (required)",400,8,"AUTOMATED_MANUAL","rear wheel drive",2,"Exotic,High-Performance","Compact","Convertible",15,10,"1",180408
"Nissan","370Z",2015,"premium unleaded (required)",332,6,"AUTOMATIC","rear wheel drive",2,"High-Performance","Compact","Convertible",25,18,"1",46570
"Nissan","370Z",2016,"premium unleaded (required)",332,6,"MANUAL","rear wheel drive",2,"High-Performance","Compact","Coupe",26,18,"1",29990
"Nissan","370Z",2017,"premium unleaded (required)",332,6,"MANUAL","rear wheel drive",2,"High-Performance","Compact","Coupe",26,18,"1",37970
"Nissan","370Z",2017,"premium unleaded (required)",332,6,"MANUAL","rear wheel drive",2,"High-Performance","Compact","Convertible",24,17,"1",48100
"Nissan","370Z",2017,"premium unleaded (required)",332,6,"AUTOMATIC","rear wheel drive",2,"High-Performance","Compact","Convertible",25,18,"1",49400
"Nissan","370Z",2017,"premium unleaded (required)",350,6,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,High-Performance","Compact","Coupe",26,19,"1",43290
"Nissan","370Z",2017,"premium unleaded (required)",332,6,"AUTOMATIC","rear wheel drive",2,"High-Performance","Compact","Coupe",26,19,"1",31290
"Mazda","3",2015,"regular unleaded",184,4,"AUTOMATIC","front wheel drive",4,"Performance","Compact","Sedan",39,28,"0",26095
"Mazda","3",2015,"regular unleaded",184,4,"AUTOMATIC","front wheel drive",4,"Hatchback,Performance","Compact","4dr Hatchback",37,27,"0",25395
"Mazda","3",2016,"regular unleaded",184,4,"AUTOMATIC","front wheel drive",4,"Hatchback,Performance","Compact","4dr Hatchback",37,27,"0",26495
"Mazda","3",2016,"regular unleaded",155,4,"MANUAL","front wheel drive",4,"N/A","Compact","Sedan",41,29,"0",20045
"Mazda","3",2017,"regular unleaded",184,4,"MANUAL","front wheel drive",4,"Performance","Midsize","Sedan",34,25,"0",23145
"Mazda","3",2017,"regular unleaded",155,4,"MANUAL","front wheel drive",4,"N/A","Midsize","Sedan",37,27,"0",20445
"BMW","4 Series Gran Coupe",2015,"premium unleaded (required)",300,6,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",32,21,"1",45800
"BMW","4 Series Gran Coupe",2016,"premium unleaded (required)",300,6,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",31,20,"1",47950
"BMW","4 Series Gran Coupe",2017,"premium unleaded (recommended)",320,6,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",32,21,"1",48300
