"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","Class"
"b",157,0,"u","g","w","v",1.25,"t","t",1,"f","g","00202",0,"+"
"a",329,4.46,"u","g","q","h",3.04,"t","t",6,"f","g","00043",560,"+"
"a",90,0.5,"u","g","q","h",1.5,"t","f",0,"f","g","00280",824,"+"
"b",126,1.54,"u","g","w","v",3.75,"t","t",5,"t","g","00100",3,"+"
"b",44,5.625,"u","g","w","v",1.71,"t","f",0,"f","s","00120",0,"+"
"b",169,4,"u","g","m","v",2.5,"t","f",0,"t","g","00360",0,"+"
"b",180,1.04,"u","g","r","h",6.5,"t","f",0,"t","g","00164",31285,"+"
"a",75,11.585,"u","g","cc","v",0.04,"t","f",0,"f","g","00080",1349,"+"
"b",311,0.5,"y","p","k","h",3.96,"t","f",0,"f","g","00180",314,"+"
"b",256,4.915,"y","p","w","v",3.165,"t","f",0,"t","g","00052",1442,"+"
"b",65,0.83,"u","g","c","h",2.165,"f","f",0,"t","g","00128",0,"+"
"b",146,1.835,"u","g","c","h",4.335,"t","f",0,"f","g","00260",200,"+"
"a",221,6,"u","g","k","v",1,"t","f",0,"t","g","00000",0,"+"
"b",283,6.04,"u","g","k","v",0.04,"f","f",0,"f","g","00000",2690,"+"
"a",271,10.5,"u","g","q","v",5,"t","t",7,"t","g","00000",0,"+"
"b",212,4.415,"y","p","k","v",0.25,"t","t",10,"t","g","00320",0,"+"
"b",130,0.875,"u","g","m","v",0.96,"t","t",3,"t","g","00396",0,"+"
"a",79,5.875,"u","g","q","v",3.17,"t","t",10,"f","g","00120",245,"+"
"b",62,0.25,"u","g","d","h",0.665,"t","f",0,"t","g","00000",0,"+"
"a",35,8.585,"u","g","cc","h",0.75,"t","t",7,"f","g","00096",0,"+"
"b",95,11.25,"u","g","c","v",2.5,"t","t",17,"f","g","00200",1208,"+"
"b",79,1,"u","g","c","v",0.835,"t","f",0,"f","s","00300",0,"+"
"a",281,8,"u","g","c","v",7.875,"t","t",6,"t","g","00000",1260,"+"
"a",122,14.5,"u","g","x","h",3.085,"t","t",1,"f","g","00120",11,"+"
"a",245,6.5,"u","g","q","v",0.5,"t","t",3,"t","g","00145",0,"+"
"a",4,0.585,"u","g","c","h",1.5,"t","t",2,"f","g","00100",0,"+"
"a",275,13,"u","g","i","bb",5.165,"t","t",9,"t","g","00000",0,"+"
"b",319,18.5,"u","g","d","bb",15,"t","t",17,"t","g","00000",0,"+"
"b",323,8.5,"u","g","e","h",7,"t","t",3,"f","g","00000",0,"+"
"b",253,1.04,"u","g","w","v",5,"t","t",6,"t","g","00500",10000,"+"
"b",139,14.79,"u","g","aa","v",5.04,"t","t",5,"t","g","00168",0,"+"
"b",252,9.79,"u","g","x","h",7.96,"t","t",8,"f","g","00000",0,"+"
"b",292,7.585,"u","g","i","bb",7.585,"t","t",15,"t","g","00000",5000,"+"
"a",213,5.125,"u","g","e","v",5,"t","f",0,"t","g","00000",4000,"+"
"a",71,10.75,"u","g","q","v",0.415,"t","t",5,"t","g","00000",560,"+"
"b",126,1.5,"u","g","w","v",2,"t","t",11,"t","g","00434",35,"+"
"b",120,1.585,"u","g","cc","h",1.835,"t","t",12,"t","g","00583",713,"+"
"a",76,11.75,"u","g","x","h",0.5,"t","t",2,"t","g","00300",551,"+"
"b",125,0.585,"y","p","cc","v",0.25,"t","t",2,"f","g","00260",500,"+"
"b",312,9.415,"u","g","ff","ff",14.415,"t","t",11,"t","g","00030",300,"+"
"b",189,9.17,"u","g","c","v",4.5,"t","t",12,"t","g","00000",221,"+"
"b",137,15,"u","g","c","h",5.335,"t","t",11,"f","g","00000",2283,"+"
"b",143,1.415,"u","g","w","h",0.75,"t","t",1,"f","g","00240",100,"+"
"b",235,13.915,"u","g","w","v",8.625,"t","t",6,"t","g","00070",0,"+"
"b",317,28,"y","p","c","v",28.5,"t","t",40,"f","g","00000",15,"+"
"b",310,6.75,"u","g","c","h",2.625,"t","t",11,"t","g","00000",284,"+"
"a",244,2.04,"y","p","q","h",0.125,"t","t",23,"t","g","00455",1236,"+"
"b",167,4.46,"u","g","cc","h",6.04,"t","t",3,"f","g","00311",300,"+"
"b",248,1.54,"u","g","i","bb",3.5,"f","f",0,"f","g","00216",0,"+"
"b",85,0.665,"u","g","c","v",0.165,"f","f",0,"f","g","00100",0,"+"
"a",104,0.5,"u","g","c","h",0.875,"t","f",0,"t","g","00491",0,"+"
"b",107,1,"u","g","q","v",1.75,"t","f",0,"t","g","00280",0,"+"
"b",216,2.04,"u","g","w","v",0.04,"t","f",0,"t","g","00400",5800,"+"
"b",197,2.5,"u","g","w","v",0,"t","f",0,"t","g","00239",200,"+"
"b",190,3,"u","g","cc","h",7.415,"t","f",0,"t","g","00000",0,"+"
"b",80,11.625,"y","p","w","v",0.835,"t","f",0,"t","g","00160",300,"+"
"b",78,0,"u","g","cc","v",0.085,"t","f",0,"f","g","00000",0,"+"
"b",266,0.5,"u","g","i","h",5,"t","f",0,"t","g","00320",0,"+"
"b",199,4.5,"u","g","x","h",5.75,"f","f",0,"t","s","00711",0,"+"
"b",262,3,"u","g","q","h",6,"t","t",11,"f","g","00080",0,"+"
"b",320,12.25,"u","g","m","v",1.25,"t","t",4,"t","g","00200",0,"+"
"b",164,16.165,"u","g","d","v",3,"t","t",9,"f","g","00250",730,"+"
"a",81,0.79,"y","p","q","v",1.5,"t","t",2,"t","g","00080",400,"+"
"a",47,0.835,"u","g","q","v",1.585,"t","t",1,"f","g","00000",0,"+"
"b",114,4.25,"u","g","cc","v",4.29,"t","t",1,"t","g","00120",0,"+"
"b",189,1.54,"u","g","cc","v",1.54,"t","t",1,"t","g","00520",50000,"+"
"a",204,1,"u","g","c","v",2,"t","t",11,"f","g","00000",456,"+"
"b",101,0.375,"u","g","m","v",0.25,"t","t",3,"f","g","00260",15108,"+"
"b",37,6.5,"u","g","w","h",1.46,"t","t",7,"f","g","00080",2954,"+"
"b",199,25.125,"u","g","x","h",1.625,"t","t",1,"t","g","00515",500,"+"
"b",172,7.5,"u","g","e","bb",1.585,"t","f",0,"t","s","00420",0,"-"
"b",196,4,"u","g","d","bb",12.5,"t","f",0,"t","g",NA,0,"-"
"a",224,5,"u","g","cc","v",13.5,"t","f",0,"t","g","00980",0,"-"
"b",265,0.5,"u","g","m","v",10.75,"t","f",0,"f","s","00400",0,"-"
"b",267,7,"y","p","c","v",1.625,"f","f",0,"f","g","00160",2,"-"
"b",49,5.29,"u","g","q","v",0.375,"t","t",1,"f","g","00160",0,"-"
"b",188,6.5,"u","g","aa","v",0.125,"t","f",0,"t","g","00443",0,"-"
"a",35,0.585,"y","p","aa","v",0.585,"t","f",0,"t","g","00160",0,"-"
"b",60,1.165,"y","p","k","v",2.5,"t","t",1,"f","g","00180",20,"-"
