"Class","timestamp","day_of_week","is_weekend","is_holiday","apparent_temperature","temperature","is_start_of_semester"
"0",3010,5,1,0,63,63,0
"0",3311,5,1,0,63,63,0
"0",26707,5,1,0,61.45,61.45,0
"0",27609,5,1,0,61.45,61.45,0
"0",28511,5,1,0,61.45,61.45,0
"0",35411,5,1,0,62.96,62.96,0
"0",35712,5,1,0,62.96,62.96,0
"0",44412,5,1,0,62.95,62.95,0
"0",52508,5,1,0,63.68,63.68,0
"0",54906,5,1,0,63.23,63.23,0
"0",63610,5,1,0,64.69,64.69,0
"0",63911,5,1,0,64.69,64.69,0
"0",66308,5,1,0,65.23,65.23,0
"0",66610,5,1,0,65.23,65.23,0
"0",69607,5,1,0,64.76,64.76,0
"0",75014,5,1,0,64.49,64.49,0
"0",77108,5,1,0,63.53,63.53,0
"0",81611,5,1,0,63.24,63.24,0
"0",2407,6,1,0,63.24,63.24,0
"0",33606,6,1,0,61.8,61.8,0
"0",37807,6,1,0,63.58,63.58,0
"1",41406,6,1,0,66.29,66.29,0
"1",42608,6,1,0,66.29,66.29,0
"1",62406,6,1,0,66.21,66.21,0
"1",64809,6,1,0,64.49,64.49,0
"1",75610,6,1,0,62.27,62.27,0
"0",32412,0,0,0,62.72,62.72,0
"0",36013,0,0,0,64.44,64.44,0
"1",82813,0,0,0,61.72,61.72,0
"0",24029,1,0,0,61.24,61.24,0
"0",24652,1,0,0,61.24,61.24,0
"0",71772,1,0,0,66.25,66.25,0
"0",11,2,0,0,61,61,0
"0",25210,2,0,0,62.97,62.97,0
"0",26408,2,0,0,62.97,62.97,0
"0",28210,2,0,0,62.97,62.97,0
"0",33607,2,0,0,64.01,64.01,0
"0",37808,2,0,0,65.57,65.57,0
"1",61211,2,0,0,71.19,71.19,0
"1",64811,2,0,0,69.66,69.66,0
"1",66607,2,0,0,69.66,69.66,0
"0",78010,2,0,0,66.73,66.73,0
"0",84013,2,0,0,66.24,66.24,0
"0",27010,3,0,0,62.22,62.22,0
