"type","element1","type1","charge1","ind11","inda1","logp1","lumo1","element2","type2","charge2","ind12","inda2","logp2","lumo2","Class"
7,"c",27,-0.087,1,0,4.23,-1.246,"c",27,0.013,1,0,4.23,-1.246,"yes"
7,"c",22,-0.117,1,0,4.23,-1.246,"c",27,0.013,1,0,4.23,-1.246,"yes"
7,"c",27,0.013,1,0,4.23,-1.246,"c",22,-0.117,1,0,4.23,-1.246,"yes"
7,"c",22,-0.117,1,0,4.23,-1.246,"c",22,-0.117,1,0,4.23,-1.246,"yes"
1,"c",22,-0.117,1,0,4.23,-1.246,"h",3,0.143,1,0,4.23,-1.246,"yes"
1,"c",22,-0.117,1,0,4.23,-1.246,"h",3,0.143,1,0,4.23,-1.246,"yes"
1,"n",38,0.812,1,0,4.23,-1.246,"c",22,-0.117,1,0,4.23,-1.246,"yes"
7,"c",22,-0.117,1,0,4.23,-1.246,"c",22,-0.117,1,0,4.23,-1.246,"yes"
1,"c",22,-0.117,1,0,4.23,-1.246,"h",3,0.142,1,0,4.23,-1.246,"yes"
1,"c",22,-0.117,1,0,4.23,-1.246,"h",3,0.142,1,0,4.23,-1.246,"yes"
7,"c",22,-0.117,1,0,4.23,-1.246,"c",195,-0.087,1,0,4.23,-1.246,"yes"
1,"c",22,-0.117,1,0,4.23,-1.246,"h",3,0.142,1,0,4.23,-1.246,"yes"
1,"c",22,-0.117,1,0,4.23,-1.246,"h",3,0.143,1,0,4.23,-1.246,"yes"
1,"c",29,0.011,1,0,4.62,-1.387,"c",29,0.011,1,0,4.62,-1.387,"yes"
1,"c",22,-0.119,1,0,4.62,-1.387,"n",38,0.812,1,0,4.62,-1.387,"yes"
1,"c",22,-0.119,1,0,4.62,-1.387,"h",3,0.142,1,0,4.62,-1.387,"yes"
7,"c",22,-0.119,1,0,4.62,-1.387,"c",22,-0.119,1,0,4.62,-1.387,"yes"
7,"c",22,-0.119,1,0,4.62,-1.387,"c",22,-0.118,1,0,4.62,-1.387,"yes"
1,"c",10,0.011,1,0,4.62,-1.387,"c",22,-0.119,1,0,4.62,-1.387,"yes"
7,"c",22,-0.128,0,0,2.68,-1.034,"c",22,-0.128,0,0,2.68,-1.034,"no"
1,"c",22,-0.128,0,0,2.68,-1.034,"h",3,0.132,0,0,2.68,-1.034,"no"
1,"c",29,0.002,0,0,2.68,-1.034,"c",29,0.002,0,0,2.68,-1.034,"no"
7,"c",22,0.202,0,0,2.68,-1.034,"c",22,-0.128,0,0,2.68,-1.034,"no"
2,"n",38,0.801,0,0,2.68,-1.034,"o",40,-0.398,0,0,2.68,-1.034,"no"
7,"c",22,-0.128,0,0,2.68,-1.034,"c",22,-0.128,0,0,2.68,-1.034,"no"
7,"c",22,-0.128,0,0,2.68,-1.034,"c",29,0.002,0,0,2.68,-1.034,"no"
7,"c",22,-0.128,0,0,2.68,-1.034,"c",22,-0.128,0,0,2.68,-1.034,"no"
1,"c",22,-0.128,0,0,2.68,-1.034,"h",3,0.132,0,0,2.68,-1.034,"no"
7,"c",22,-0.122,1,0,6.26,-1.598,"c",22,-0.121,1,0,6.26,-1.598,"yes"
7,"c",22,0.009,1,0,6.26,-1.598,"c",22,0.009,1,0,6.26,-1.598,"yes"
1,"c",10,-0.091,1,0,6.26,-1.598,"c",22,0.009,1,0,6.26,-1.598,"yes"
7,"c",27,0.009,1,0,6.26,-1.598,"c",22,-0.121,1,0,6.26,-1.598,"yes"
7,"c",22,-0.121,1,0,6.26,-1.598,"c",22,-0.121,1,0,6.26,-1.598,"yes"
1,"c",22,0.009,1,0,6.26,-1.598,"c",10,-0.091,1,0,6.26,-1.598,"yes"
1,"c",10,-0.091,1,0,6.26,-1.598,"c",10,-0.091,1,0,6.26,-1.598,"yes"
7,"c",22,-0.121,1,0,6.26,-1.598,"c",22,-0.121,1,0,6.26,-1.598,"yes"
1,"c",22,-0.121,1,0,6.26,-1.598,"n",38,0.808,1,0,6.26,-1.598,"yes"
1,"c",10,-0.091,1,0,6.26,-1.598,"h",3,0.059,1,0,6.26,-1.598,"yes"
1,"c",10,-0.091,1,0,6.26,-1.598,"h",3,0.059,1,0,6.26,-1.598,"yes"
7,"c",27,-0.091,1,0,6.26,-1.598,"c",27,-0.091,1,0,6.26,-1.598,"yes"
7,"c",22,-0.121,1,0,6.26,-1.598,"c",22,-0.121,1,0,6.26,-1.598,"yes"
7,"c",22,0.111,1,0,2.4,-3.172,"c",22,-0.119,1,0,2.4,-3.172,"yes"
1,"c",22,0.111,1,0,2.4,-3.172,"c",14,0.56,1,0,2.4,-3.172,"yes"
1,"c",22,-0.119,1,0,2.4,-3.172,"n",38,0.81,1,0,2.4,-3.172,"yes"
7,"c",22,-0.119,1,0,2.4,-3.172,"c",22,-0.119,1,0,2.4,-3.172,"yes"
1,"c",22,-0.119,1,0,2.4,-3.172,"n",38,0.81,1,0,2.4,-3.172,"yes"
1,"c",22,-0.119,1,0,2.4,-3.172,"n",38,0.81,1,0,2.4,-3.172,"yes"
2,"n",38,0.81,1,0,2.4,-3.172,"o",40,-0.39,1,0,2.4,-3.172,"yes"
2,"n",38,0.81,1,0,2.4,-3.172,"o",40,-0.389,1,0,2.4,-3.172,"yes"
2,"n",38,0.81,1,0,2.4,-3.172,"o",40,-0.389,1,0,2.4,-3.172,"yes"
7,"c",29,0.011,1,0,2.4,-3.172,"c",22,-0.119,1,0,2.4,-3.172,"yes"
7,"c",22,-0.119,1,0,2.4,-3.172,"c",22,-0.119,1,0,2.4,-3.172,"yes"
1,"c",22,-0.119,1,0,2.4,-3.172,"h",3,0.141,1,0,2.4,-3.172,"yes"
