"element_1","element_2","bond_type","label_atom2","label_atom1","Class"
"c","cl","-","+","+","+"
"c","c","-","+","+","+"
"cl","c","-","+","+","+"
"c","c","-","+","+","+"
"c","c","-","+","+","+"
"h","n","-","-","-","-"
"c","h","-","-","-","-"
"o","c","-","-","-","-"
"c","h","-","-","-","-"
"c","c","-","-","-","-"
"n","c","-","+","+","+"
"c","o","-","+","+","+"
"c","n","-","+","+","+"
"h","c","-","+","+","+"
"h","c","-","+","+","+"
"h","c","-","+","+","+"
"h","c","-","+","+","+"
"o","h","-","+","+","+"
"h","o","-","+","+","+"
"c","c","-","+","+","+"
"o","c","=","+","+","+"
"c","c","=","-","-","-"
"h","n","-","-","-","-"
"n","h","-","-","-","-"
"h","c","-","-","-","-"
"c","c","-","-","-","-"
"c","h","-","-","-","-"
"c","h","-","-","-","-"
"c","c","-","-","-","-"
"c","c","-","-","-","-"
"c","c","-","-","-","-"
"c","c","-","-","-","-"
"h","c","-","-","-","-"
"c","cl","-","-","-","-"
"c","c","-","-","-","-"
"c","c","-","-","-","-"
"c","h","-","-","-","-"
"h","c","-","-","-","-"
"cl","c","-","-","-","-"
"c","o","-","-","-","-"
"c","o","=","-","-","-"
"o","c","-","-","-","-"
"o","h","-","-","-","-"
"c","h","-","-","-","-"
"o","h","-","-","-","-"
"o","h","-","-","-","-"
"h","o","-","-","-","-"
"c","h","-","-","-","-"
"c","c","-","-","-","-"
"h","c","-","-","-","-"
"h","c","-","-","-","-"
"c","c","-","-","-","-"
"cl","c","-","-","-","-"
"c","c","-","-","-","-"
"cl","c","-","-","-","-"
"c","c","-","-","-","-"
"c","cl","-","-","-","-"
"c","c","-","-","-","-"
"c","c","-","-","-","-"
"o","c","=","-","-","-"
"c","o","=","-","-","-"
"cl","c","-","-","-","-"
"c","c","-","-","-","-"
"h","c","-","+","+","+"
"c","c","-","+","+","+"
"c","h","-","+","+","+"
"c","h","-","+","+","+"
"c","h","-","+","+","+"
"h","n","-","+","+","+"
"c","h","-","+","+","+"
"h","c","-","+","+","+"
"h","c","-","+","+","+"
"c","c","=","+","+","+"
"n","c","-","+","+","+"
"c","h","-","+","+","+"
"c","h","-","+","+","+"
"n","h","-","+","+","+"
"c","h","-","+","+","+"
"s","c","-","+","+","+"
"c","c","=","+","+","+"
"c","c","-","+","+","+"
"c","c","-","-","-","-"
"cl","c","-","-","-","-"
"h","c","-","-","-","-"
"c","c","=","-","-","-"
"c","c","=","-","-","-"
"c","c","-","-","-","-"
"c","c","-","-","-","-"
"c","c","-","-","-","-"
"c","c","-","-","-","-"
"c","c","-","-","-","-"
"c","cl","-","-","-","-"
"c","c","-","-","-","-"
"c","c","-","-","-","-"
"c","h","-","-","-","-"
"c","cl","-","-","-","-"
"cl","c","-","-","-","-"
"c","c","-","-","-","-"
"c","h","-","-","-","-"
"c","c","-","-","-","-"
"h","c","-","-","-","-"
"c","c","=","-","-","-"
"c","c","-","-","-","-"
"c","cl","-","-","-","-"
"c","c","-","-","-","-"
"c","c","-","-","-","-"
"h","c","-","-","-","-"
"cl","c","-","-","-","-"
"c","c","-","-","-","-"
"c","h","-","-","-","-"
"c","c","-","-","-","-"
"c","c","-","-","-","-"
"c","o","-","-","-","-"
"h","c","-","-","-","-"
"c","h","-","-","-","-"
"c","h","-","-","-","-"
"h","c","-","-","-","-"
"h","c","-","-","-","-"
"h","c","-","-","-","-"
"c","h","-","-","-","-"
"p","o","-","-","-","-"
"c","o","=","-","-","-"
"c","cl","-","-","-","-"
"c","c","-","+","+","+"
"h","c","-","+","+","+"
"h","c","-","+","+","+"
"c","c","=","+","+","+"
"c","h","-","+","+","+"
"h","c","-","+","+","+"
"c","c","=","+","+","+"
"n","o","=","+","+","+"
"c","c","=","+","+","+"
"c","c","-","+","+","+"
"h","c","-","+","+","+"
"c","c","-","-","-","-"
"n","n","=","-","-","-"
"c","h","-","-","-","-"
"c","h","-","-","-","-"
"h","c","-","-","-","-"
"c","c","-","-","-","-"
"c","c","-","-","-","-"
"c","h","-","-","-","-"
"n","n","=","-","-","-"
"c","h","-","-","-","-"
"c","c","=","-","-","-"
"c","c","-","-","-","-"
"c","c","-","-","-","-"
"h","c","-","-","-","-"
"c","c","=","-","-","-"
"n","c","-","-","-","-"
"c","h","-","-","-","-"
"c","h","-","-","-","-"
"h","c","-","-","-","-"
"c","h","-","-","-","-"
"c","c","-","-","-","-"
"o","s","=","-","-","-"
"n","c","-","-","-","-"
"h","c","-","-","-","-"
"c","n","-","-","-","-"
"p","n","-","-","-","-"
"c","c","-","-","-","-"
"c","o","-","-","-","-"
"c","c","=","-","-","-"
"c","c","-","-","-","-"
"c","c","-","-","-","-"
"c","c","-","-","-","-"
"p","o","-","-","-","-"
"c","o","-","-","-","-"
"c","c","-","-","-","-"
"c","c","-","-","-","-"
"c","c","=","-","-","-"
"h","c","-","-","-","-"
"h","c","-","-","-","-"
"c","c","=","-","-","-"
"c","c","-","-","-","-"
"n","c","-","-","-","-"
"c","n","-","-","-","-"
"c","f","-","-","-","-"
"n","o","-","-","-","-"
"c","c","=","-","-","-"
"c","c","-","-","-","-"
"c","o","-","-","-","-"
"h","c","-","-","-","-"
"cl","c","-","-","-","-"
"c","c","=","-","-","-"
"c","c","-","-","-","-"
"n","c","-","-","-","-"
"h","c","-","-","-","-"
"c","c","=","-","-","-"
"o","c","-","-","-","-"
"c","o","=","-","-","-"
"c","c","-","+","+","+"
"h","c","-","+","+","+"
"c","c","-","+","+","+"
"c","c","-","+","+","+"
"h","c","-","+","+","+"
"o","c","-","+","+","+"
"h","c","-","+","+","+"
"h","c","-","+","+","+"
"c","c","-","+","+","+"
"c","c","-","+","+","+"
"c","c","-","+","+","+"
"n","c","-","+","+","+"
"c","h","-","-","-","-"
"c","cl","-","+","+","+"
"c","cl","-","+","+","+"
"n","c","#","+","+","+"
"c","h","-","-","-","-"
"c","c","-","-","-","-"
"s","n","-","-","-","-"
"c","s","-","-","-","-"
"s","c","-","-","-","-"
"n","h","-","-","-","-"
"c","n","=","-","-","-"
"c","c","=","-","-","-"
"c","c","-","+","+","+"
"c","s","-","+","+","+"
"n","h","-","+","+","+"
"n","h","-","+","+","+"
"h","c","-","+","+","+"
"h","c","-","+","+","+"
"c","h","-","+","+","+"
"c","h","-","+","+","+"
"c","c","=","+","+","+"
"c","c","-","+","+","+"
"c","h","-","+","+","+"
"c","c","-","+","+","+"
"h","c","-","+","+","+"
"o","c","-","+","+","+"
"c","c","-","+","+","+"
"h","c","-","+","+","+"
"c","c","-","+","+","+"
"n","h","-","-","-","-"
"c","c","-","-","-","-"
"c","h","-","-","-","-"
"c","c","-","-","-","-"
"c","c","=","-","-","-"
"h","c","-","-","-","-"
"c","n","-","-","-","-"
