"id","username","location","userop","quote","Class","date","reviewnospace","page","titleopinion"
"rn433214207","Linda B","Destin, Florida","6 reviews","Awesome look at a way of life from the past","1","2016-10-31","Having a tour guide for this visit was really helpful. One learns so much more than trying to do it yourself. It's a lot to take in, but not to be missed.",8,"Awesome look at a way of life from the past. Having a tour guide for this visit was really helpful. One learns so much more than trying to do it yourself. It's a lot to take in, but not to be missed."
"rn433187125","Sarah K","","20 reviews","Definitely worth seeing","1","2016-10-31","Alhambra was really cool to see in person! If the tickets are sold out go to the tourist center in the city center the night before and see if they have tickets left. It saved us from having to get in line at 5:30am to try to get tickets!",8,"Definitely worth seeing. Alhambra was really cool to see in person! If the tickets are sold out go to the tourist center in the city center the night before and see if they have tickets left. It saved us from having to get in line at 5:30am to try to get tickets!"
"rn433123219","NIKOS G","","29 reviews","Fairytale","1","2016-10-31","Well, what can I say about something so special and breathtaking. Wonderful experience that everyone should have in a lifetime. Be careful to book your tickets online at least one month before and wear comfortable shoes.You have to choose which time of the day you are going to visit It when you will make the booking. Best is from 8:30 to 14:00. It is best to enter not from the main entrance but from the other one in the opposite side. In order to do this, one day before, you have to take the tickets you have booked from the ticket office in Granada ( closes at 19:00) or from a certain bank's atm using the credit card you have made the payment. From this entrance is the most popular and important area, and you only have half hour to see it. All the other parts of the castles are free of hour restrictions.So if you finish with that, then you will not have to calculate the time all the time.Also, the que in this entrance is significant smaller. You must be there very eartly in the morning. It will take you at least 4 to 5 hours to see everything this magnificent monument has to offer.",8,"Fairytale. Well, what can I say about something so special and breathtaking. Wonderful experience that everyone should have in a lifetime. Be careful to book your tickets online at least one month before and wear comfortable shoes.You have to choose which time of the day you are going to visit It when you will make the booking. Best is from 8:30 to 14:00. It is best to enter not from the main entrance but from the other one in the opposite side. In order to do this, one day before, you have to take the tickets you have booked from the ticket office in Granada ( closes at 19:00) or from a certain bank's atm using the credit card you have made the payment. From this entrance is the most popular and important area, and you only have half hour to see it. All the other parts of the castles are free of hour restrictions.So if you finish with that, then you will not have to calculate the time all the time.Also, the que in this entrance is significant smaller. You must be there very eartly in the morning. It will take you at least 4 to 5 hours to see everything this magnificent monument has to offer."
"rn433061302","pinmark","philadelphia","52 reviews","can't live up to the hype","0","2016-10-30","of course you must visit Alhambra--we booked late and took a viatour tour for about $70 euros each--ouch--I think there are better deals if you book further in advance--I would get a guide but maybe not so pricey--just amazing that it was built so long ago and is in still such good shape",8,"can't live up to the hype. of course you must visit Alhambra--we booked late and took a viatour tour for about $70 euros each--ouch--I think there are better deals if you book further in advance--I would get a guide but maybe not so pricey--just amazing that it was built so long ago and is in still such good shape"
"rn432995975","Nigel_Guisborough","Guisborough, United Kingdom","42 reviews","Very busy, and unlucky with the weather, but well worth seeing","0","2016-10-30","The Palaces and Gardens are well worth seeing, definitely added to our understanding of European history and culture and an real aesthetic experience. Don't miss if you are into art and architecture. The weather wasn't ideal - nobody can stop the rain but dodging the umbrellas at head level and the puddles underfoot was a bit of a distraction. We were part of a tour group, so couldn't pick our time slot, but if you are going independently, try to choose a fine day. And the sheer numbers mean they operate a complex ticket checking system to manage flows and we got the impression our guide was in a hurry too, so we felt rushed to keep up. I guess it's a trade off between getting the benefit of local knowledge and going at your own pace. Anyway, memories of the graceful arches, fantastic tile patterns and complex ceilings will stay with us, so very glad we went.",9,"Very busy, and unlucky with the weather, but well worth seeing. The Palaces and Gardens are well worth seeing, definitely added to our understanding of European history and culture and an real aesthetic experience. Don't miss if you are into art and architecture. The weather wasn't ideal - nobody can stop the rain but dodging the umbrellas at head level and the puddles underfoot was a bit of a distraction. We were part of a tour group, so couldn't pick our time slot, but if you are going independently, try to choose a fine day. And the sheer numbers mean they operate a complex ticket checking system to manage flows and we got the impression our guide was in a hurry too, so we felt rushed to keep up. I guess it's a trade off between getting the benefit of local knowledge and going at your own pace. Anyway, memories of the graceful arches, fantastic tile patterns and complex ceilings will stay with us, so very glad we went."
"rn432815794","효숙 이","","28 reviews","Beautiful ","0","2016-10-30","Absolutely beautiful. Loved generalife while a bit disappointed with Nazrid palace where many parts were under construction......Offered great walking experience around gardens in generalife. Also took night visit to Nazrid palace, if offers different beauty (with shadow) but prefer day visit if you have only one chance.",9,"Beautiful . Absolutely beautiful. Loved generalife while a bit disappointed with Nazrid palace where many parts were under construction......Offered great walking experience around gardens in generalife. Also took night visit to Nazrid palace, if offers different beauty (with shadow) but prefer day visit if you have only one chance."
"rn432290205","Ekaterina T","Vancouver, Canada","15 reviews","Bucket list worthy","1","2016-10-28","Simply amazing. Even with renovations going on, it is still enchantingly beautiful. The gardens are gorgeous. Take your time to linger. Bring sunscreen and water if you are there in the hot season. It does get ""little"" warm/ Take a bus up and walk down after. You will need your energy for walking the grounds. Make sure to book tickets in advance on line. Way in advance if you are going in high season. We were there in September and were very happy that we planned well, as the tickets were sold out for the next 2 weeks. Also if you haven't already, read ""Tales of the Alhambra"" before your visit. This will make it so much more interesting to see the place for yourself.",11,"Bucket list worthy. Simply amazing. Even with renovations going on, it is still enchantingly beautiful. The gardens are gorgeous. Take your time to linger. Bring sunscreen and water if you are there in the hot season. It does get ""little"" warm/ Take a bus up and walk down after. You will need your energy for walking the grounds. Make sure to book tickets in advance on line. Way in advance if you are going in high season. We were there in September and were very happy that we planned well, as the tickets were sold out for the next 2 weeks. Also if you haven't already, read ""Tales of the Alhambra"" before your visit. This will make it so much more interesting to see the place for yourself."
"rn431914261","Andreea B","","19 reviews","Must see! ","1","2016-10-26","Being around such an historical place it's amazing. There's still a lot of beauty in this place. Old palace, monuments, statues and the amazing view of the Albaicin neighborhood from the Alhambra privileged situation can make you speechless! A must see place in Granada and Spain. It's a pretty big place and you'll need around 3 hours to visit it.",11,"Must see! . Being around such an historical place it's amazing. There's still a lot of beauty in this place. Old palace, monuments, statues and the amazing view of the Albaicin neighborhood from the Alhambra privileged situation can make you speechless! A must see place in Granada and Spain. It's a pretty big place and you'll need around 3 hours to visit it."
"rn431591418","Paula F","Bristol, United Kingdom","7 reviews","Amazing","1","2016-10-25","We've started in the gardens and progressed through the palaces with our guide Carmen. She was very knowledgeable and waited for the slower members of the group to keep up. The visit was well worth the early rise to beat the crowds as it got very busy later in the day. A lot of walking on pretty uneven ground but plenty of places to take a break. I would definitely recommend a visit.",12,"Amazing. We've started in the gardens and progressed through the palaces with our guide Carmen. She was very knowledgeable and waited for the slower members of the group to keep up. The visit was well worth the early rise to beat the crowds as it got very busy later in the day. A lot of walking on pretty uneven ground but plenty of places to take a break. I would definitely recommend a visit."
"rn431491647","Penny L","","8 reviews","Another World","1","2016-10-25","We were staying in Seville and booked to go on a day trip to Granada with a visit to the Alhambra, I think that we were extremely fortunate to get tickets to get into such an outstanding attraction. We had a guided tour that lasted about 3 hours and our guide was fantastic, so knowledgeable and ready to answer questions. We hadn't realised just how large the site was, it builds up from the gardens and the lesser city buildings to the final sultan's palaces which were stunning. The contrast between the original Arab architecture and the unfinished palace of the Spanish was striking and we really appreciated the history about the two cultures. A stunning place to visit.",12,"Another World. We were staying in Seville and booked to go on a day trip to Granada with a visit to the Alhambra, I think that we were extremely fortunate to get tickets to get into such an outstanding attraction. We had a guided tour that lasted about 3 hours and our guide was fantastic, so knowledgeable and ready to answer questions. We hadn't realised just how large the site was, it builds up from the gardens and the lesser city buildings to the final sultan's palaces which were stunning. The contrast between the original Arab architecture and the unfinished palace of the Spanish was striking and we really appreciated the history about the two cultures. A stunning place to visit."
"rn431238267","BonnieFerron","Los Angeles, California, United States","19 reviews","Amazing, amazing, amazing","1","2016-10-24","The Alhambra is unlike anything you've ever seen in Europe. Be sure to buy your tickets to the Palacios Nazaries online ahead of time and pick them up before your entrance time. You don't want to miss a minute inside. The complexity of Moorish design is incredible. Everywhere you look is detailed, even the ceilings. Absolutely amazing. Do not miss it.",13,"Amazing, amazing, amazing. The Alhambra is unlike anything you've ever seen in Europe. Be sure to buy your tickets to the Palacios Nazaries online ahead of time and pick them up before your entrance time. You don't want to miss a minute inside. The complexity of Moorish design is incredible. Everywhere you look is detailed, even the ceilings. Absolutely amazing. Do not miss it."
"rn431009555","TXwonderer","Dallas, Texas","100 reviews","Book your tour early","1","2016-10-23","I tried to book the Alhambra group tour one and a half months before our visit, but all the tours were booked. I resorted to book the tickets online through Ticketmaster and planned to tour the place independently with audio guide. I was able to pick up the tickets in Seville via the La Caixa bank machine before arriving Granada. We took a taxi to the Gate of Justice entrance at 8am and were able to get in without waiting in line, but we were told the audio guides are no longer available. We followed the guidebook through Alcazaba, the Nasrid Palaces, and Generalife garden. The Alhambra was fascinating and beautiful, but we felt we would enjoy it much more if we had either a tour guide or an audio guide.",13,"Book your tour early. I tried to book the Alhambra group tour one and a half months before our visit, but all the tours were booked. I resorted to book the tickets online through Ticketmaster and planned to tour the place independently with audio guide. I was able to pick up the tickets in Seville via the La Caixa bank machine before arriving Granada. We took a taxi to the Gate of Justice entrance at 8am and were able to get in without waiting in line, but we were told the audio guides are no longer available. We followed the guidebook through Alcazaba, the Nasrid Palaces, and Generalife garden. The Alhambra was fascinating and beautiful, but we felt we would enjoy it much more if we had either a tour guide or an audio guide."
"rn430749823","BostonGlobetreker","Boston","119 reviews","Absolutely a great place to visit.","1","2016-10-23","You must read many great review about Alhambra. One of the reason to tour Spain is because I wanted to see Alhambra. I heard Alhambra many years ago and I saw a lot of wonderful pictures about its magnificence and beautiful intricate moorish carving. It definitely deserve a five stars rating. However, I was pretty disappointed by what I imagined. I always think it is a palace with lavishing decoration, but it is a fortress. Alhambra itself is pretty impressive, but after I visited other magnificent places in Spain, I think it is not that of a highlight. Besides, our tour guide pretty much rush through quickly. We might have missed something or did not enjoy enough. I still love Alhambra somehow because it has so much history, mystery, music, legend, culture, art and fantasy associate with it.",14,"Absolutely a great place to visit.. You must read many great review about Alhambra. One of the reason to tour Spain is because I wanted to see Alhambra. I heard Alhambra many years ago and I saw a lot of wonderful pictures about its magnificence and beautiful intricate moorish carving. It definitely deserve a five stars rating. However, I was pretty disappointed by what I imagined. I always think it is a palace with lavishing decoration, but it is a fortress. Alhambra itself is pretty impressive, but after I visited other magnificent places in Spain, I think it is not that of a highlight. Besides, our tour guide pretty much rush through quickly. We might have missed something or did not enjoy enough. I still love Alhambra somehow because it has so much history, mystery, music, legend, culture, art and fantasy associate with it."
"rn430542918","Rittersport_Mint","London, United Kingdom","31 reviews","Breathtaking","1","2016-10-22","Just a beautiful piece of history all around, a bit strenuous to get to, make an informed choice of walking or taking the many C3 buses. Prepare for hordes of tourist groups in the main Nazir palace, that was the only downside, but who is complaining",14,"Breathtaking. Just a beautiful piece of history all around, a bit strenuous to get to, make an informed choice of walking or taking the many C3 buses. Prepare for hordes of tourist groups in the main Nazir palace, that was the only downside, but who is complaining"
"rn430301235","MichaelH6811GY","Sunnyvale, California","43 reviews","A must see!!","1","2016-10-21","Please make sure to order your tickets in advance!!!!!!!!We came in late October, just after 9am, and all the tickets were sold shortly after 8am. The line started 6:30 am.-- for the 2000 extra they sell during the dayHere is the way around this. There are tour agencies by the small church at the end of the river. They are able to sell you a guided tour. I do not if any are better. We booked one of these at 45euro each. This ticket package was for access to all parts of The Alhambra. The guide did it in English and Spanish. The group had about 14 people and it felt ok. The English spoken was relatively good and the she was very knowledgeable and pleasant. It lasted almost 4 hours and we visited the entire complex. It was not rushed and we had enough time for pics. It was also done with an ear phone -- this made it that you could wonder a bit away and take pics. I do not care for guided tours in general. But, it was very well done and if you have no advance tickets -- this the way to go. Alhambra is beautiful and has stunning details. 5 stars in its category.",15,"A must see!!. Please make sure to order your tickets in advance!!!!!!!!We came in late October, just after 9am, and all the tickets were sold shortly after 8am. The line started 6:30 am.-- for the 2000 extra they sell during the dayHere is the way around this. There are tour agencies by the small church at the end of the river. They are able to sell you a guided tour. I do not if any are better. We booked one of these at 45euro each. This ticket package was for access to all parts of The Alhambra. The guide did it in English and Spanish. The group had about 14 people and it felt ok. The English spoken was relatively good and the she was very knowledgeable and pleasant. It lasted almost 4 hours and we visited the entire complex. It was not rushed and we had enough time for pics. It was also done with an ear phone -- this made it that you could wonder a bit away and take pics. I do not care for guided tours in general. But, it was very well done and if you have no advance tickets -- this the way to go. Alhambra is beautiful and has stunning details. 5 stars in its category."
"rn430203904","Porter120","Asia","305 reviews","There should be a complete truth in advertising practiced by Viator Tour Company of the Alhambra","0","2016-10-21","My husband and I booked the full day VIATOR tour of the Alhambra and the Generalife Gardens. The tour started with a 745 Pick up time at the restaurant Kioska Las Titas. After several hours of walking and visiting some Alhambra ruins , and other parts of the Generalife Gardens , my husband and I were wondering when the tour of the palace would commence. In their advertisement , pictures , showing the intricate windows and the walls and the façade were advertised in the internet . We were told by the tour guide Juan , that that was a separate tour altogether and that it only happens at night . We will have to book another tour and pay for another tour to the Nasrid Palace. Although our experience Viator was not very ideal / and felt that they were not transparent , our visit to what was the remains of the Alhambra and the Generalife Gardens was great . I just hope that the tour company should have emphasized , what sites are and those NOT included. We were willing to pay for more , however , due to the lack of time , we were left with what was what we paid for. Given a choice , we would have preferred the Nasrid Palace .",15,"There should be a complete truth in advertising practiced by Viator Tour Company of the Alhambra. My husband and I booked the full day VIATOR tour of the Alhambra and the Generalife Gardens. The tour started with a 745 Pick up time at the restaurant Kioska Las Titas. After several hours of walking and visiting some Alhambra ruins , and other parts of the Generalife Gardens , my husband and I were wondering when the tour of the palace would commence. In their advertisement , pictures , showing the intricate windows and the walls and the façade were advertised in the internet . We were told by the tour guide Juan , that that was a separate tour altogether and that it only happens at night . We will have to book another tour and pay for another tour to the Nasrid Palace. Although our experience Viator was not very ideal / and felt that they were not transparent , our visit to what was the remains of the Alhambra and the Generalife Gardens was great . I just hope that the tour company should have emphasized , what sites are and those NOT included. We were willing to pay for more , however , due to the lack of time , we were left with what was what we paid for. Given a choice , we would have preferred the Nasrid Palace ."
"rn429978088","pmarshal","UK","60 reviews","Great Place - Don't bother with tickets","0","2016-10-20","We went for a last minute visit to El Alhambra and couldn't get tickets as they had all pre-sold online. You can queue at 08:00 to buy on the door, but we were on holiday and staying over an hour away, so that was never going to happen! So we got the free limited access, which for us was perfect. You get to see a lot of the external palace buildings and gardens. For us the highlight was the little (hop on/off) road train from outside the palace round Granada. For 8 Euros each that was a bargain. Parking is easy by the way.",16,"Great Place - Don't bother with tickets. We went for a last minute visit to El Alhambra and couldn't get tickets as they had all pre-sold online. You can queue at 08:00 to buy on the door, but we were on holiday and staying over an hour away, so that was never going to happen! So we got the free limited access, which for us was perfect. You get to see a lot of the external palace buildings and gardens. For us the highlight was the little (hop on/off) road train from outside the palace round Granada. For 8 Euros each that was a bargain. Parking is easy by the way."
"rn429861270","Maureen C","","3 reviews","Skip the line tour","0","2016-10-19","Great visit but disappointed that the palace tour was not included in our skip the line tour of Alhambra No gardens",16,"Skip the line tour. Great visit but disappointed that the palace tour was not included in our skip the line tour of Alhambra No gardens"
"rn429771538","Carol C","Bath","20 reviews","Second visit here and still find it amazing","1","2016-10-19","If claiming reduced rate be aware that even if you get your tickets elsewhere when you get to Alhambra you will still have to queue so for the few euros less we found it was not worth claiming the concession. Please wear comfortable shoes as there is a lot of walking on uneven ground with plenty of steps here and there.",17,"Second visit here and still find it amazing. If claiming reduced rate be aware that even if you get your tickets elsewhere when you get to Alhambra you will still have to queue so for the few euros less we found it was not worth claiming the concession. Please wear comfortable shoes as there is a lot of walking on uneven ground with plenty of steps here and there."
"rn429691328","AKTC190479","Oslo, Norway","21 reviews","Very interesting and beautiful","1","2016-10-19","We were here 4 years ago. A very intersting place and very beautiful too. We used many hours here since there is so much to see and many things to learn. We did not go here this time since we did not have time for all the places in Granda, but we recomend this from last time we went.",17,"Very interesting and beautiful. We were here 4 years ago. A very intersting place and very beautiful too. We used many hours here since there is so much to see and many things to learn. We did not go here this time since we did not have time for all the places in Granda, but we recomend this from last time we went."
"rn429640930","ultrapilot","Indian Rocks Beach","331 reviews","A must see!!!!","1","2016-10-19","This is an amazing place. You could spend a few days here but we were on a tour from our ship and got a 4 hr. overview. It's in wonderful condition thanks to continuous upkeep. The interior of the buildings and the gardens will blow you away. We had a choice to either spend the day in Port or take the tour (2hr. drive each way) and we opted for the tour. ""We chose wisely""! This is a must see if you get the chance.",17,"A must see!!!!. This is an amazing place. You could spend a few days here but we were on a tour from our ship and got a 4 hr. overview. It's in wonderful condition thanks to continuous upkeep. The interior of the buildings and the gardens will blow you away. We had a choice to either spend the day in Port or take the tour (2hr. drive each way) and we opted for the tour. ""We chose wisely""! This is a must see if you get the chance."
"rn429351237","hugheskevin5","Vilamoura, Portugal","30 reviews","A must to see (along with Palace). Take a tour, to get maximum benefit","1","2016-10-18","Superb site to visit, beautiful witless lots of history. Take a tour to get maximum benefit, &amp; allow time to take things in. A must if visiting Andalusia.",18,"A must to see (along with Palace). Take a tour, to get maximum benefit. Superb site to visit, beautiful witless lots of history. Take a tour to get maximum benefit, &amp; allow time to take things in. A must if visiting Andalusia."
"rn429260765","Bill D","Witham, United Kingdom","122 reviews","A highlight of any trip to Andalusia","1","2016-10-18","A guide is very helpful however it was clear that some are better than others, nevertheless in many ways the structure speaks for itself. There are many individual highlights within the walls and plenty of opportunity for taking iconic photographs.",18,"A highlight of any trip to Andalusia. A guide is very helpful however it was clear that some are better than others, nevertheless in many ways the structure speaks for itself. There are many individual highlights within the walls and plenty of opportunity for taking iconic photographs."
"rn429228847","TheSGB","Hertfordshire","87 reviews","Amazing, breathtaking - a real wow moment on our tour of Spain","1","2016-10-18","We took a guided tour of the Alhambra which lasted about 3 hours. Our guide Daniel really brought the history alive for us. I had absolutely no idea that the Alhambra would be so big, so beautiful or so well preserved. How little did I know. This place just blew me away and I am still looking at the photographs and talking about it two weeks on. I'm not one for reading history books and often get bored with a self-guided tour. This is why I recommend a guided tour - everything just came to life for me and I was mesmerised. Beautiful gardens, stunning views over Granada, intricate mosaics, decorated ceilings, stained glass if you look up at the right moment...I cannot recommend a visit enough. Tickets are hard to come by as the Alhambra gets booked up and visitor numbers are restricted to 8,000 a day. For this reason it never seemed too crowded. Note, there are no restaurants or cafes, but there are 'refreshment stations' with machines to buy water or snacks. Plus the cleanest toilets in the whole of Spain...maybe! You need at least 3 hours to see it all.",18,"Amazing, breathtaking - a real wow moment on our tour of Spain. We took a guided tour of the Alhambra which lasted about 3 hours. Our guide Daniel really brought the history alive for us. I had absolutely no idea that the Alhambra would be so big, so beautiful or so well preserved. How little did I know. This place just blew me away and I am still looking at the photographs and talking about it two weeks on. I'm not one for reading history books and often get bored with a self-guided tour. This is why I recommend a guided tour - everything just came to life for me and I was mesmerised. Beautiful gardens, stunning views over Granada, intricate mosaics, decorated ceilings, stained glass if you look up at the right moment...I cannot recommend a visit enough. Tickets are hard to come by as the Alhambra gets booked up and visitor numbers are restricted to 8,000 a day. For this reason it never seemed too crowded. Note, there are no restaurants or cafes, but there are 'refreshment stations' with machines to buy water or snacks. Plus the cleanest toilets in the whole of Spain...maybe! You need at least 3 hours to see it all."
"rn428922334","Ama2re","","19 reviews","Unbelievably beautiful and worth the trip","1","2016-10-17","The water features throughout are impressive. The gardens deserve a lazy stroll. For this place, a paid tour may be worth the cost.",20,"Unbelievably beautiful and worth the trip. The water features throughout are impressive. The gardens deserve a lazy stroll. For this place, a paid tour may be worth the cost."
