,dataset_name,model,accurasy,number_of_trees,number_of_internal_trees,model_size_in_bytes,min_depth,max_depth,mean_depth,min_leaves,max_leaves,mean_leaves
1,accident,drf,0.834159919,50,50,64106,11,20,16.42,45,97,76.94
2,adni_demographic_master_kaggle,drf,0.814467011,50,50,32626,1,20,10.72,2,165,46.94
3,adult,drf,0.869758314,50,50,88578,16,20,19.36,111,158,133.12
4,aids,drf,0.580687831,50,50,20371,7,15,10.7,17,35,27.4
5,Aids2,drf,0.99889363,50,50,23301,5,17,9.36,10,104,32.2
6,amis,drf,0.661821669,50,50,409359,14,20,18.08,237,733,647.88
7,AP_Endometrium_Breast,drf,1,6,6,686,2,3,2.5,3,5,4.1666665
8,AP_Endometrium_Lung,drf,0.950396825,5,5,632,2,4,3.2,4,6,5.2
9,AP_Endometrium_Omentum,drf,0.872395833,5,5,609,2,3,2.6,3,6,4.8
10,arsenic-male-bladder,drf,0.808243728,50,50,8843,1,9,6.32,2,13,9.16
11,Attribute_DataSet,drf,0.677858439,50,50,40236,11,20,14.78,47,72,58.94
12,australian,drf,0.939444161,50,50,43036,10,19,12.96,46,79,63.36
13,azcabgptca,drf,0.564323177,50,50,167233,14,20,16.62,143,286,261.16
14,azdrg112,drf,0.546978643,50,50,33457,7,14,10.34,25,55,48.2
15,baboon_mating,drf,0.566818125,50,50,131974,14,20,17.62,128,174,156.42
16,bands,drf,0.919202899,50,50,32043,9,16,12.18,30,56,42.98
17,bank-additional-full,drf,0.890110257,50,50,59416,11,20,14.92,74,118,89.42
18,bank-additional,drf,0.923968509,50,50,60342,11,20,15,70,115,90.82
19,Benefits,drf,0.633290611,50,50,400497,20,20,20,584,687,633.92
20,biodeg,drf,0.922855083,50,50,52264,10,18,13.22,63,87,77.88
21,biopsy,drf,0.985452245,50,50,13725,5,9,7.04,11,24,16.92
22,Blackmore,drf,0.99987946,50,50,17811,2,14,8.38,3,72,23.4
23,block_2,drf,1,50,50,5987,1,6,3.42,2,9,4.62
24,block_5,drf,1,50,50,8207,3,8,4.9,4,14,8.18
25,block_8,drf,1,50,50,5710,2,5,3.1,3,7,4.18
26,channing,drf,1,50,50,7352,1,8,3.26,2,26,6.76
27,chess,drf,0.540322581,50,50,12648,3,6,3.86,6,11,7.9
